,home_time,recreational_activities,school_time,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
27:04:2013,81605.0,6001.0,11999.0,0.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",36142.0,3490.0,51.0,469.3766233766234,603.3026655737967,121.0,212.0,615.0,77.0,,10651.0,3600.0,1051.0,1775.1666666666667,1023.4550144811772,1200.0,1200.0,2100.0,6.0,
27:05:2013,81600.0,11400.0,1800.0,0.0,6000.0,0.0,1.0,11700.0,2.0,"Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",34459.0,4475.0,30.0,1148.6333333333334,1018.5579218826414,461.5,882.5,1409.25,30.0,,16640.0,1205.0,530.0,693.3333333333334,233.0162649047163,600.0,600.0,602.25,24.0,
28:03:2013,84000.0,2400.0,0.0,0.0,0.0,3.0,1.0,7800.0,2.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College",23672.0,3247.0,41.0,622.9473684210526,739.7838233316257,133.5,353.0,846.5,38.0,2.0,23914.0,2482.0,1.0,1494.625,704.8446519151105,1189.0,1202.0,2397.0,16.0,
28:04:2013,146395.0,1200.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,"Dartmouth College,0,Dartmouth College",31806.0,3983.0,60.0,908.7428571428572,835.519998101117,366.5,736.0,1170.0,35.0,1.0,16782.0,8400.0,1181.0,3356.4,3222.966692350388,1200.0,1201.0,4800.0,5.0,2.0
28:05:2013,70201.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",27611.0,2389.0,60.0,511.3148148148149,532.3056230965005,151.0,267.0,698.25,54.0,,14666.0,1800.0,1.0,698.3809523809524,372.6248081100447,600.0,600.0,601.0,21.0,
29:03:2013,61201.0,16798.0,8401.0,0.0,0.0,4.0,0.0,9000.0,2.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",37867.0,4460.0,81.0,841.4888888888889,1112.0881795936505,211.0,464.0,776.0,45.0,1.0,14219.0,2363.0,1070.0,1292.6363636363635,357.0925013850816,1196.0,1198.0,1201.0,11.0,2.5
29:04:2013,7200.0,1200.0,0.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",2818.0,1422.0,101.0,704.5,685.7669672223453,126.5,647.5,1225.5,4.0,0.0,8389.0,1200.0,1193.0,1198.428571428571,2.819996622760558,1198.0,1200.0,1200.0,7.0,3.0
29:05:2013,19198.0,0.0,18001.0,4200.0,0.0,2.0,0.0,11700.0,2.0,"Dartmouth College,Dartmouth Co-Op,Dartmouth Co-Op,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall",15368.0,2835.0,70.0,808.8421052631579,826.0606826753034,222.0,474.0,1129.0,19.0,,7459.0,1148.0,564.0,678.0909090909091,160.2301186078663,605.0,639.0,664.0,11.0,
30:03:2013,81600.0,9600.0,2400.0,0.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",25678.0,7412.0,71.0,1069.9166666666667,1552.2441234678845,119.25,559.5,1606.5,24.0,0.0,32398.0,8400.0,1155.0,2492.153846153846,2470.8377407320054,1199.0,1201.0,2399.0,13.0,5.0
30:04:2013,73200.0,13200.0,0.0,0.0,0.0,1.0,1.0,3900.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",,,,,,,,,,,10878.0,2438.0,252.0,1208.6666666666667,552.6305275679222,1137.0,1173.0,1200.0,9.0,2.0
31:03:2013,121200.0,0.0,0.0,2400.0,0.0,-1.0,0.0,0.0,2.0,"Dartmouth College,0,Ledyard Bridge,Ledyard Bridge,0,Dartmouth College",23377.0,3621.0,60.0,649.3611111111111,879.9937387042763,118.5,322.5,746.0,36.0,1.0,21590.0,2404.0,1194.0,1439.3333333333333,496.3445903613258,1197.5,1201.0,1205.0,15.0,1.0
