,home_time,orthers,recreational_activities,school_time,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
23:04:2013,50401.0,0.0,0.0,9600.0,9600.0,0.0,1.0,0.0,0.0,15.0,"Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Class of 1953 Commons,Class of 1953 Commons,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Dartmouth College,Collis Student Center,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Wilder Hall,Wheeler Hall,Wheeler Hall,Sudikoff Hall,Sudikoff Hall",31804.0,9884.0,60.0,908.6857142857144,1841.2352275103824,126.0,212.0,665.0,35.0,,5768.0,1173.0,1107.0,1153.6,26.735743864721623,1158.0,1161.0,1169.0,5.0,
23:05:2013,0.0,0.0,8400.0,10800.0,98610.0,0.0,3.0,0.0,10500.0,15.0,"Sudikoff Hall,Berry Library,Berry Library,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity",,,,,,,,,,,,,,,,,,,,
24:04:2013,50399.0,0.0,27587.0,13200.0,4800.0,0.0,2.0,0.0,3900.0,15.0,"Dartmouth College,Dartmouth College,Winfred-Raven House,Winfred-Raven House,Wheeler Hall,Wheeler Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Berry Library",26435.0,7715.0,132.0,1201.590909090909,1733.2603645563445,358.0,499.0,1137.25,22.0,,,,,,,,,,,
24:05:2013,39600.0,0.0,0.0,14400.0,0.0,0.0,4.0,0.0,3000.0,15.0,"Sudikoff Hall,Sudikoff Hall,Wheeler Hall",11700.0,1715.0,50.0,316.2162162162162,370.33979405819065,81.0,171.0,293.0,37.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
25:04:2013,2400.0,28800.0,10784.0,10830.0,22799.0,1200.0,3.0,0.0,10500.0,15.0,"Berry Library,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Thel,Berry Library,Berry Library,Life Sciences Greenhouse,0",28740.0,10417.0,212.0,2395.0,3138.1909090777417,526.25,1125.0,2350.25,12.0,,,,,,,,,,,
25:05:2013,1201.0,0.0,0.0,174789.0,0.0,0.0,5.0,0.0,0.0,15.0,"Wheeler Hall,Collis Student Center,Sudikoff Hall",4267.0,2370.0,70.0,609.5714285714286,797.8959533554188,202.0,353.0,535.0,7.0,,,,,,,,,,,
26:04:2013,21598.0,0.0,198825.0,16800.0,32401.0,1198.0,4.0,0.0,3000.0,15.0,"Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Berry Library,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Wheeler Hall,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Berry Library,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sigma Alpha Epsilon Fraternity,0",29853.0,6566.0,91.0,904.6363636363636,1341.9539582773934,191.0,293.0,1361.0,33.0,1.0,125620.0,122021.0,1247.0,41873.333333333336,69412.11429090265,1799.5,2352.0,62186.5,3.0,2.0
27:03:2013,8401.0,0.0,0.0,4799.0,0.0,0.0,2.0,0.0,3900.0,15.0,"Wheeler Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",18133.0,3480.0,61.0,647.6071428571429,724.3981583348635,192.0,372.5,797.5,28.0,2.0,1203.0,1203.0,1203.0,1203.0,,1203.0,1203.0,1203.0,1.0,
27:05:2013,101386.0,2400.0,0.0,2400.0,0.0,0.0,0.0,1.0,10500.0,15.0,"Sudikoff Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall",878.0,666.0,61.0,292.6666666666667,326.4327393711196,106.0,151.0,408.5,3.0,,,,,,,,,,,
28:03:2013,40800.0,24000.0,2400.0,8400.0,10801.0,0.0,3.0,0.0,10500.0,15.0,"Dartmouth College,USPS,Collis Student Center,Thel,Thel,Wheeler Hall,Wheeler Hall,Collis Student Center,Collis Student Center,Wheeler Hall,Thel,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Thel,Wheeler Hall,Thel,Sigma Alpha Epsilon Fraternity,Wilder Hall,Thel,Hopkins Center for the Arts,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",33817.0,9872.0,61.0,966.2,2080.1707198038844,115.5,312.0,736.5,35.0,2.0,2405.0,1204.0,1201.0,1202.5,2.1213203435596424,1201.75,1202.5,1203.25,2.0,4.0
28:05:2013,14400.0,0.0,0.0,114287.0,0.0,0.0,1.0,0.0,0.0,15.0,"Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",28555.0,4437.0,50.0,571.1,719.4258836327872,141.25,448.5,621.75,50.0,,4595.0,1200.0,1095.0,1148.75,49.39213837579148,1113.75,1150.0,1185.0,4.0,
29:03:2013,3599.0,36001.0,15599.0,17998.0,10801.0,3601.0,4.0,0.0,3000.0,15.0,"Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Vail,F Lot Parking,F Lot Parking,Berry Library,Berry Library,Sudikoff Hall,Sudikoff Hall,Robinson Hall,Class of 1953 Commons,Class of 1953 Commons,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Berry Library,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Thel,Wheeler Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Rollins Chapel,Rollins Chapel,Alumni Gymnasium",38176.0,5314.0,51.0,1004.6315789473684,1286.0045693889783,163.5,625.0,1132.25,38.0,1.0,3048.0,1849.0,1199.0,1524.0,459.6194077712559,1361.5,1524.0,1686.5,2.0,2.5
29:04:2013,13245.0,0.0,2313.0,81687.0,1155.0,0.0,0.0,0.0,10500.0,15.0,"Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Berry Library,Sudikoff Hall",48378.0,3439.0,70.0,848.7368421052631,865.4180353677925,252.0,494.0,1018.0,57.0,1.0,4799.0,1236.0,1177.0,1199.75,25.31633201446581,1189.0,1193.0,1203.75,4.0,2.3333333333333335
29:05:2013,7199.0,0.0,7201.0,14400.0,0.0,0.0,2.0,0.0,3900.0,15.0,"Sudikoff Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall",45498.0,5165.0,51.0,649.9714285714285,802.7327956430009,151.0,368.0,852.75,70.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
30:03:2013,33601.0,39600.0,6000.0,3601.0,2399.0,0.0,5.0,0.0,0.0,15.0,"Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Wheeler Hall,Dartmouth College,Dartmouth College,Wheeler Hall,Thel,Thel,0,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Thel,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Rockefeller Center,Bones Gate,Dartmouth College,Thel,Wheeler Hall,Dartmouth College",29249.0,5658.0,61.0,1169.96,1341.0611619161891,262.0,756.0,1493.0,25.0,1.0,3599.0,2400.0,1199.0,1799.5,849.2352442050436,1499.25,1799.5,2099.75,2.0,1.0
30:04:2013,26400.0,18000.0,14400.0,3600.0,0.0,0.0,1.0,0.0,0.0,15.0,"Sudikoff Hall,Wilder Hall,Wheeler Hall,Hopkins Center for the Arts,Wheeler Hall,Wheeler Hall,Thel,Thel,Berry Library,Berry Library,Sudikoff Hall,Wheeler Hall",27242.0,3459.0,40.0,736.2702702702703,813.24011243942,141.0,313.0,1271.0,37.0,1.0,3888.0,1190.0,386.0,972.0,391.9795913054658,938.0,1156.0,1190.0,4.0,2.5
30:05:2013,20400.0,0.0,0.0,6001.0,32399.0,0.0,3.0,1.0,10500.0,15.0,"Sudikoff Hall,Winfred-Raven House,Winfred-Raven House,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Sudikoff Hall",13705.0,4488.0,80.0,1054.2307692307693,1354.1878349430303,141.0,656.0,1180.0,13.0,,,,,,,,,,,
31:03:2013,15601.0,30000.0,13200.0,17998.0,10800.0,0.0,-1.0,0.0,0.0,15.0,"Hood Museum of Art,Hood Museum of Art,Berry Library,Wilder Hall,Thel,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Thel,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Thel,Thel,Berry Library,Berry Library,Thel",29212.0,4347.0,61.0,1043.2857142857142,1171.63263289097,229.5,539.5,1555.0,28.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
27:04:2013,,,,,,,,,,,,20595.0,3541.0,30.0,541.9736842105264,718.9041016692495,83.25,297.0,739.0,38.0,,,,,,,,,,,
28:04:2013,,,,,,,,,,,,33133.0,4498.0,60.0,753.0227272727273,966.485012062384,179.25,388.0,995.5,44.0,,64800.0,64800.0,64800.0,64800.0,,64800.0,64800.0,64800.0,1.0,
19:05:2013,,,,,,,,,,,,2328.0,514.0,131.0,291.0,118.38194843085545,216.25,272.0,355.5,8.0,,,,,,,,,,,
26:05:2013,,,,,,,,,,,,14387.0,4094.0,70.0,625.5217391304348,846.4277271174435,131.0,363.0,812.0,23.0,,2394.0,1200.0,1194.0,1197.0,4.242640687119285,1195.5,1197.0,1198.5,2.0,
