,home_time,recreational_activities,school_time,travel_time,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
29:04:2013,63601.0,1200.0,5999.0,0.0,0.0,0.0,0.0,1.0,11700.0,28.0,"Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Vail,Bartlett Hall,Bartlett Hall,Dartmouth College",26031.0,4004.0,50.0,456.6842105263158,677.1336162165679,121.0,232.0,444.0,57.0,1.0,4752.0,1202.0,1152.0,1188.0,24.055491403558285,1186.5,1199.0,1200.5,4.0,2.0
29:05:2013,18001.0,0.0,62402.0,2399.0,1199.0,0.0,2.0,0.0,11700.0,28.0,"Ripley Hall,The Church of Christ at Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall",30422.0,3803.0,40.0,507.03333333333336,679.7376853639606,136.0,212.0,630.75,60.0,,14458.0,2403.0,1118.0,1807.25,636.1106709640121,1242.5,1841.5,2400.0,8.0,
30:03:2013,4802.0,0.0,91197.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,"Dartmouth College,Dartmouth College,Wentworth Hall",14279.0,1624.0,100.0,649.0454545454545,473.44165198628,209.5,524.0,1041.25,22.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,1.0
30:04:2013,88800.0,0.0,0.0,1200.0,0.0,0.0,1.0,1.0,3900.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Woodward Smith Parking Lot,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall",161.0,91.0,70.0,80.5,14.849242404917495,75.25,80.5,85.75,2.0,,8390.0,1200.0,1190.0,1198.571428571429,3.779644730092272,1200.0,1200.0,1200.0,7.0,
30:05:2013,85200.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall",9571.0,1956.0,51.0,435.04545454545456,496.3017973229333,138.5,318.0,483.75,22.0,,2400.0,2400.0,2400.0,2400.0,,2400.0,2400.0,2400.0,1.0,
31:03:2013,97200.0,3600.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,28.0,"Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall",16412.0,1110.0,71.0,356.7826086956522,269.1093881713017,164.5,262.0,408.25,46.0,,,,,,,,,,,1.0
31:05:2013,95407.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall",10888.0,716.0,70.0,279.1794871794872,176.95998236218497,111.0,252.0,398.5,39.0,,2882.0,1200.0,1.0,576.4,601.9171869950218,1.0,480.0,1200.0,5.0,
27:03:2013,,,,,,,,,,,,16790.0,4094.0,60.0,1049.375,1097.5420341229153,292.0,716.5,1388.75,16.0,,13085.0,13085.0,13085.0,13085.0,,13085.0,13085.0,13085.0,1.0,
09:04:2013,,,,,,,,,,,,5355.0,1796.0,41.0,595.0,566.1775339944177,252.0,423.0,827.0,9.0,,,,,,,,,,,
25:05:2013,,,,,,,,,,,,10420.0,847.0,71.0,267.1794871794872,187.5442224053432,116.0,232.0,353.5,39.0,,12000.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,10.0,
