,home_time,recreational_activities,school_time,orthers,shopping,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
27:03:2013,39626.0,1199.0,7175.0,0.0,0.0,0.0,0.0,2.0,1.0,14400.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth Hall",13473,4005.0,70.0,641.5714285714286,970.7932102888118,121.0,231.0,524.0,21.0,2.0,19209.0,5996.0,1198.0,2401.125,1923.1246477319887,1202.0,1203.5,3001.0,8.0,
27:04:2013,77787.0,3599.0,8536.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,"Wentworth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0",14789,5920.0,60.0,643.0,1195.3632768478224,177.0,373.0,534.5,23.0,,3137.0,3137.0,3137.0,3137.0,,3137.0,3137.0,3137.0,1.0,
28:03:2013,77999.0,3599.0,3602.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,10.0,"Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",30047,6800.0,31.0,770.4358974358975,1299.5234915126591,151.0,303.0,655.5,39.0,2.0,10800.0,2404.0,1196.0,1350.0,425.8866381696291,1197.75,1200.5,1201.5,8.0,4.0
28:04:2013,66042.0,1162.0,21660.0,0.0,0.0,1213.0,0.0,-1.0,0.0,0.0,10.0,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College",16608,2833.0,70.0,535.741935483871,639.8261205328594,171.0,313.0,640.5,31.0,,8459.0,4742.0,1200.0,2114.75,1751.7277899262774,1238.25,1258.5,2135.0,4.0,
28:05:2013,39600.0,0.0,14896.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,10.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",18164,1906.0,40.0,370.6938775510204,341.7797295092284,161.0,232.0,474.0,49.0,,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,
29:03:2013,75601.0,9599.0,2400.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Leverone Field House,Leverone Field House,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall",32534,4721.0,51.0,985.878787878788,1143.2341120035237,191.0,565.0,1443.0,33.0,1.0,7085.0,1204.0,1132.0,1180.8333333333333,31.21164312667096,1162.0,1197.5,1202.25,6.0,4.0
29:04:2013,51661.0,0.0,25217.0,0.0,0.0,1122.0,0.0,0.0,0.0,7800.0,10.0,"Choate House,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Wentworth Hall",24186,4760.0,50.0,620.1538461538462,884.4009432039752,176.5,363.0,655.0,39.0,,11865.0,5817.0,1248.0,3955.0,2398.8453472452115,3024.0,4800.0,5308.5,3.0,
29:05:2013,34800.0,0.0,60600.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,10.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",26191,2773.0,41.0,485.0185185185185,542.2937131746108,123.5,342.5,582.5,54.0,,3376.0,1539.0,1.0,675.2,550.8045932996565,600.0,600.0,636.0,5.0,
30:03:2013,239590.0,0.0,1200.0,3598.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,"Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College",17513,2794.0,30.0,500.37142857142857,628.6813036130508,85.5,152.0,570.5,35.0,,187987.0,173587.0,14400.0,93993.5,112562.20717674294,54196.75,93993.5,133790.25,2.0,1.0
30:04:2013,50364.0,1182.0,38454.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,10.0,"Dartmouth Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall",30015,7001.0,60.0,732.0731707317074,1159.56167128454,202.0,363.0,756.0,41.0,,5406.0,1200.0,815.0,1081.2,154.24882495500574,1088.0,1140.0,1163.0,5.0,
30:05:2013,12600.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",19095,6106.0,60.0,1123.235294117647,1518.6571177117205,172.0,685.0,1502.0,17.0,,1200.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,2.0,
31:03:2013,,,,,,,,,,,,,1646,939.0,71.0,411.5,386.7268631303839,154.25,318.0,575.25,4.0,,,,,,,,,,,
25:05:2013,,,,,,,,,,,,,41101,3672.0,70.0,1284.40625,972.308521969833,461.25,1119.0,1967.75,32.0,,,,,,,,,,,
26:05:2013,,,,,,,,,,,,,38824,4034.0,30.0,924.3809523809524,1001.4545020260975,193.75,393.5,1427.75,42.0,,,,,,,,,,,
27:05:2013,,,,,,,,,,,,,18686,2300.0,50.0,533.8857142857142,588.6522878290601,131.0,303.0,650.5,35.0,,,,,,,,,,,
31:05:2013,,,,,,,,,,,,,13303,4589.0,50.0,831.4375,1401.1994370895245,70.0,257.5,743.75,16.0,,3605.0,1200.0,600.0,721.0,267.77415857397443,600.0,601.0,604.0,5.0,
