,home_time,recreational_activities,school_time,travel_time,shopping,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
29:04:2013,73200.0,0.0,13201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall",33710.0,5345.0,51.0,1053.4375,1209.873518782692,358.25,666.5,1141.75,32.0,1.0,39866.0,10800.0,1170.0,3066.6153846153848,2898.092204033012,1201.0,2287.0,3015.0,13.0,2.0
29:05:2013,18880.0,3599.0,21599.0,0.0,600.0,43948.0,0.0,2.0,0.0,0.0,1.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Berry Sports Center,Berry Sports Center,Alumni Gymnasium,Citizens Bank,Martha E. Diebold Real Estate,Hanover Park,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",30256.0,3993.0,70.0,817.7297297297297,891.1681051247243,191.0,564.0,968.0,37.0,,2842.0,2842.0,2842.0,2842.0,,2842.0,2842.0,2842.0,1.0,
30:03:2013,88321.0,1200.0,12005.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,"Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Rylee Anne's,Sudikoff Hall,Dartmouth College,0",31682.0,5800.0,90.0,990.0625,1205.2122269943889,277.75,540.0,1169.75,32.0,2.0,21582.0,8400.0,1182.0,2398.0,2324.9593544834283,1200.0,1200.0,2400.0,9.0,4.0
30:04:2013,36173.0,0.0,55208.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",21937.0,4349.0,51.0,522.3095238095239,827.7937909859494,131.0,268.5,433.5,42.0,0.0,31689.0,14400.0,1194.0,5281.5,5259.756790955263,1200.0,3847.5,7023.75,6.0,3.0
30:05:2013,3866.0,4200.0,20660.0,0.0,0.0,56074.0,597.0,3.0,0.0,0.0,1.0,"Sudikoff Hall,Casque & Gauntlet Senior Society,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Rollins Chapel,Hanover High School,Hanover High School,Dartmouth College,Hunter House,0,Berry Sports Center",19486.0,2521.0,60.0,847.2173913043479,786.6856803602024,192.0,583.0,1282.0,23.0,,6000.0,3606.0,1194.0,2000.0,1390.840033936326,1197.0,1200.0,2403.0,3.0,
31:03:2013,0.0,0.0,0.0,0.0,136800.0,0.0,0.0,-1.0,0.0,0.0,1.0,King Arthur Baking Company,35861.0,9127.0,50.0,1630.0454545454545,2154.3982361068392,381.0,881.5,1727.5,22.0,2.0,60000.0,25200.0,1200.0,6666.666666666667,7733.045971672481,1200.0,4800.0,8400.0,9.0,4.0
31:05:2013,19800.0,6003.0,14248.0,2137.0,597.0,43015.0,0.0,4.0,0.0,0.0,1.0,"Berry Sports Center,Alumni Gymnasium,Alumni Gymnasium,Ivy Lane,Sudikoff Hall,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Gym Lot,Berry Sports Center,Berry Sports Center,Gym Lot,Gym Lot,Hanover High School,Hanover High School,Hanover High School,0,0,0,0,0,Citizens Bank,0",37527.0,5527.0,41.0,833.9333333333333,1133.0532644143434,181.0,393.0,1009.0,45.0,,67272.0,39600.0,432.0,4484.8,9839.6462857448,599.5,1921.0,3448.0,15.0,
19:05:2013,,,,,,,,,,,,,8290.0,1270.0,61.0,318.84615384615387,319.15208817210544,101.25,176.5,481.25,26.0,,76811.0,70801.0,1200.0,19202.75,34417.35642932695,1207.5,2405.0,20400.25,4.0,
20:05:2013,,,,,,,,,,,,,5566.0,2159.0,81.0,428.1538461538461,566.5746267635956,162.0,191.0,484.0,13.0,1.0,187275.0,182475.0,1200.0,62425.0,103973.2748113668,2400.0,3600.0,93037.5,3.0,
22:05:2013,,,,,,,,,,,,,1078.0,312.0,90.0,215.6,92.49216183007076,182.0,192.0,302.0,5.0,1.0,1228.0,816.0,412.0,614.0,285.6711395993652,513.0,614.0,715.0,2.0,
