,home_time,school_time,shopping,orthers,recreational_activities,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
26:04:2013,85200.0,1200.0,0.0,0.0,1200.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Dartmouth College",29162.0,4055.0,50.0,607.5416666666666,772.3885021327997,148.5,419.0,685.25,48.0,1.0,1190.0,1190.0,1190.0,1190.0,,1190.0,1190.0,1190.0,1.0,1.5
26:05:2013,69600.0,1199.0,0.0,0.0,13201.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Thornton Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",36750.0,6747.0,181.0,1934.2105263157891,1637.0196353586316,726.5,1452.0,3076.0,19.0,,2400.0,1200.0,1.0,800.0,691.9544782715117,600.0,1199.0,1199.5,3.0,
27:04:2013,75600.0,12000.0,0.0,0.0,2400.0,1200.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Sigma Alpha Epsilon Fraternity,Dartmouth College",8456.0,1271.0,40.0,272.7741935483871,245.773297936319,126.0,202.0,327.5,31.0,2.0,,,,,,,,,,4.0
27:05:2013,82295.0,2401.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",24810.0,5852.0,61.0,1378.3333333333333,1570.2912431250754,226.25,958.0,1749.75,18.0,,,,,,,,,,,
28:03:2013,0.0,181201.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6900.0,11.0,Sudikoff Hall,21137.0,2360.0,61.0,587.1388888888889,608.2761192925359,136.0,348.0,762.0,36.0,1.0,117267.0,117267.0,117267.0,117267.0,,117267.0,117267.0,117267.0,1.0,2.0
28:04:2013,61199.0,10802.0,0.0,0.0,7201.0,1198.0,0.0,-1.0,0.0,0.0,11.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Alpha Delta,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College",14165.0,3774.0,50.0,524.6296296296297,777.2357897925655,115.5,303.0,484.0,27.0,1.0,2374.0,1200.0,1174.0,1187.0,18.384776310850235,1180.5,1187.0,1193.5,2.0,1.0
28:05:2013,85202.0,0.0,0.0,0.0,1199.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",33769.0,3379.0,60.0,750.4222222222222,908.7213166384572,131.0,343.0,1231.0,45.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
29:04:2013,80400.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",16428.0,4511.0,70.0,432.3157894736842,847.128443793794,91.0,211.5,309.5,38.0,2.0,2324.0,1173.0,1151.0,1162.0,15.556349186104043,1156.5,1162.0,1167.5,2.0,3.5
29:05:2013,87599.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,14400.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",33587.0,4215.0,40.0,763.3409090909091,954.643241366913,186.0,398.5,1069.0,44.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
30:03:2013,63599.0,0.0,0.0,0.0,13200.0,0.0,0.0,5.0,0.0,0.0,11.0,"Smith Hall,Ripley Hall,Woodward Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",14252.0,3107.0,60.0,712.6,978.841710766783,136.0,217.0,690.75,20.0,1.0,,,,,,,,,,1.8
30:04:2013,87600.0,0.0,1200.0,0.0,0.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Ripley Hall,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",11809.0,1927.0,40.0,513.4347826086956,510.4910137297367,146.0,292.0,665.5,23.0,1.0,,,,,,,,,,2.5
30:05:2013,85636.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College",16427.0,7028.0,40.0,513.34375,1215.3663355701017,111.0,217.0,419.0,32.0,,,,,,,,,,,
31:03:2013,72000.0,0.0,0.0,0.0,10800.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Dartmouth College,Ripley Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",3297.0,514.0,30.0,183.16666666666663,141.53870807080634,91.0,126.0,224.25,18.0,1.0,,,,,,,,,,3.0
31:05:2013,97201.0,0.0,0.0,0.0,12000.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College",4448.0,746.0,70.0,317.7142857142857,199.8127695047112,194.5,247.0,481.5,14.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
27:03:2013,,,,,,,,,,,,,19424.0,2854.0,60.0,524.972972972973,642.6871749185642,172.0,262.0,645.0,37.0,,87180.0,87180.0,87180.0,87180.0,,87180.0,87180.0,87180.0,1.0,
29:03:2013,,,,,,,,,,,,,23343.0,4729.0,60.0,569.3414634146342,1016.0569277790516,81.0,252.0,414.0,41.0,,,,,,,,,,,
