,home_time,orthers,school_time,travel_time,recreational_activities,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
22:05:2013,25200.0,0.0,60589.0,0.0,1200.0,0.0,0.0,2.0,0.0,0.0,31.0,"Hopkins Center for the Arts,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College",32394.0,6233.0,60.0,1079.8,1466.5835363065812,151.25,464.0,1460.0,30.0,,2471.0,1254.0,1217.0,1235.5,26.16295090390226,1226.25,1235.5,1244.75,2.0,
23:04:2013,44487.0,0.0,24000.0,15600.0,1200.0,0.0,0.0,1.0,0.0,0.0,31.0,"Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,0,0,0,0,New Hampshire Hall,0,0,New Hampshire Hall,Collis Student Center",38816.0,4609.0,41.0,1141.6470588235295,1192.987461702329,166.25,626.0,1810.0,34.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
23:05:2013,16797.0,0.0,4803.0,58801.0,3600.0,2399.0,0.0,3.0,0.0,0.0,31.0,"Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,0,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Alpha Phi,Alpha Phi,0,Collis Student Center,Dartmouth Row Parking Lot",28555.0,3096.0,41.0,696.4634146341464,787.9097377733372,151.0,424.0,948.0,41.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
24:04:2013,25202.0,1196.0,8402.0,37200.0,22800.0,0.0,0.0,2.0,0.0,0.0,31.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,The Church of Christ at Dartmouth College,New Hampshire Hall,0,0,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,0,0,0,Collis Student Center,Dartmouth College,0",44908.0,22039.0,61.0,1952.5217391304348,4829.132266017131,166.5,443.0,1106.0,23.0,,,,,,,,,,,
24:05:2013,1200.0,0.0,20839.0,12000.0,55200.0,0.0,0.0,4.0,0.0,0.0,31.0,"0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Hood Museum of Art,0,Collis Student Center,Collis Student Center",23165.0,3704.0,121.0,1447.8125,1371.2345881844335,309.5,771.5,2702.75,16.0,,1203.0,1203.0,1203.0,1203.0,,1203.0,1203.0,1203.0,1.0,
25:04:2013,37195.0,0.0,7206.0,32399.0,0.0,1200.0,0.0,3.0,0.0,0.0,31.0,"Collis Student Center,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Phi,0,0,Bartlett Hall,New Hampshire Hall,Collis Student Center,Dartmouth College,0,0,Collis Student Center,Collis Student Center,0,Life Sciences Greenhouse,Life Sciences Greenhouse",39283.0,6344.0,51.0,1267.1935483870968,1546.3549057779896,333.0,767.0,1376.5,31.0,2.0,,,,,,,,,,4.0
25:05:2013,16800.0,0.0,4800.0,54000.0,8400.0,0.0,0.0,5.0,0.0,0.0,31.0,"Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Hood Museum of Art,New Hampshire Hall,Hopkins Center for the Arts,0,Bartlett Hall,0,New Hampshire Hall,Hopkins Center for the Arts",21491.0,4327.0,60.0,716.3666666666667,1062.619453190487,130.25,323.0,615.5,30.0,,,,,,,,,,,
26:04:2013,16986.0,0.0,10366.0,44580.0,15448.0,0.0,0.0,4.0,0.0,0.0,31.0,"Collis Student Center,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,0,0,Baker Memorial Library,Baker Memorial Library,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Baker Memorial Library,Baker Memorial Library,0,0,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",28842.0,4073.0,70.0,930.3870967741937,1159.3225227812825,146.0,464.0,1013.5,31.0,1.0,4911.0,3595.0,1316.0,2455.5,1611.4963543241415,1885.75,2455.5,3025.25,2.0,1.0
26:05:2013,37200.0,0.0,13200.0,33600.0,1200.0,0.0,0.0,-1.0,0.0,0.0,31.0,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,0,Collis Student Center,South Block Parking Garage,South Block Parking Garage,0,Sanborn House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Class of 1953 Commons",58633.0,8181.0,60.0,1430.0731707317073,2053.3495609642787,253.0,626.0,1472.0,41.0,,,,,,,,,,,
27:04:2013,30104.0,6339.0,9585.0,36768.0,4804.0,0.0,0.0,5.0,0.0,0.0,31.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,Dartmouth College,Dartmouth College,0,0,Class of 1953 Commons,Class of 1953 Commons,New Hampshire Hall,New Hampshire Hall,0,Martha E. Diebold Real Estate,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,0,Bartlett Hall,0,0,0,Bartlett Hall,0,0,Hanover Inn Valet Lot,0,0",44117.0,6142.0,70.0,938.6595744680852,1226.3675645295948,202.0,444.0,1120.0,47.0,,5535.0,4278.0,1257.0,2767.5,2136.16958596456,2012.25,2767.5,3522.75,2.0,
27:05:2013,32401.0,0.0,68399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,"Class of 1953 Commons,Sanborn House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",46064.0,2612.0,51.0,583.0886075949367,515.8050265181308,212.0,414.0,812.0,79.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
28:03:2013,0.0,0.0,108689.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,31.0,Sudikoff Hall,31127.0,3591.0,50.0,1004.0967741935484,899.8465185737218,292.5,635.0,1537.5,31.0,,,,,,,,,,,
28:04:2013,64735.0,19252.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,31.0,"0,0,0,0,0,0,0,0,0,0,0,0,0",23524.0,3300.0,61.0,500.51063829787233,585.6807214626942,207.0,322.0,529.0,47.0,,,,,,,,,,,
28:05:2013,2401.0,0.0,34725.0,34801.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,"Sudikoff Hall,Dartmouth College,0,0,Class of 1953 Commons,Class of 1953 Commons,Life Sciences Greenhouse,0,0,0",18583.0,2129.0,70.0,599.4516129032259,543.7228361772616,196.5,424.0,792.0,31.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
29:03:2013,37201.0,0.0,2400.0,18000.0,2398.0,4801.0,0.0,4.0,0.0,0.0,31.0,"Alpha Phi,Alpha Phi,Alpha Phi,0,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",32755.0,4539.0,50.0,909.8611111111112,1124.1222138127605,118.5,373.0,1160.75,36.0,1.0,416.0,416.0,416.0,416.0,,416.0,416.0,416.0,1.0,3.0
29:04:2013,40097.0,599.0,30082.0,16835.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,"0,0,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,New Hampshire Hall,0,0,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,0,0,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",35581.0,4155.0,50.0,741.2708333333334,739.7499502659258,252.0,549.5,908.0,48.0,1.0,8243.0,1201.0,1099.0,1177.571428571429,37.11629086558957,1176.0,1194.0,1198.5,7.0,1.0
29:05:2013,75058.0,0.0,4141.0,0.0,8400.0,0.0,0.0,2.0,0.0,0.0,31.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College",58659.0,4024.0,50.0,977.65,775.2336733560306,428.75,772.0,1237.75,60.0,,,,,,,,,,,
30:03:2013,14399.0,0.0,15009.0,132002.0,7201.0,1791.0,0.0,5.0,0.0,0.0,31.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,The Lodge,Zahm Courtyard,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Alpha Phi,Alpha Phi,0,Collis Student Center,Bartlett Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot",47252.0,6640.0,51.0,1005.3617021276596,1481.9199272144567,106.0,454.0,1205.0,47.0,,5283.0,5282.0,1.0,2641.5,3734.2309114461577,1321.25,2641.5,3961.75,2.0,1.0
30:04:2013,39599.0,0.0,16759.0,26441.0,2401.0,0.0,0.0,1.0,0.0,0.0,31.0,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall,0,0,Bartlett Hall,0,0,Bartlett Hall,Bartlett Hall,0",28693.0,2583.0,50.0,667.2790697674419,638.3819324623404,136.0,464.0,1043.5,43.0,,2366.0,1199.0,1167.0,1183.0,22.62741699796952,1175.0,1183.0,1191.0,2.0,
30:05:2013,8400.0,0.0,3600.0,64800.0,8400.0,0.0,0.0,3.0,0.0,0.0,31.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,0,0,0,0,Bartlett Hall,0,Bartlett Hall,0,0,0,0,0,0,Collis Student Center,Dartmouth College,Dartmouth College,Hood Museum of Art",16230.0,1947.0,61.0,624.2307692307693,518.372939702088,189.5,464.0,1003.75,26.0,,,,,,,,,,,
31:03:2013,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,31.0,0,19241.0,2906.0,70.0,520.027027027027,723.3623836903175,131.0,242.0,393.0,37.0,1.0,4800.0,2400.0,1200.0,1600.0,692.8203230275509,1200.0,1200.0,1800.0,3.0,2.5
31:05:2013,3599.0,0.0,1200.0,68401.0,7200.0,0.0,0.0,4.0,0.0,0.0,31.0,"Zahm Courtyard,Hopkins Center for the Arts,0,0,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,0,Collis Student Center,0,0,Hopkins Center for the Arts,Collis Student Center",19122.0,3459.0,71.0,735.4615384615385,844.9625899775317,153.75,302.5,1223.0,26.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
27:03:2013,,,,,,,,,,,,,16055.0,5920.0,71.0,891.9444444444445,1388.3306298963862,171.0,468.0,861.0,18.0,,86395.0,86395.0,86395.0,86395.0,,86395.0,86395.0,86395.0,1.0,
12:05:2013,,,,,,,,,,,,,9167.0,1644.0,51.0,416.6818181818182,398.1099855643671,141.0,303.0,504.25,22.0,,23963.0,10769.0,1200.0,4792.6,4936.879662296824,1200.0,1200.0,9594.0,5.0,
19:05:2013,,,,,,,,,,,,,4609.0,4609.0,4609.0,4609.0,,4609.0,4609.0,4609.0,1.0,,,,,,,,,,,
01:06:2013,,,,,,,,,,,,,12787.0,5174.0,111.0,1065.5833333333333,1403.8200777186728,226.75,701.0,1202.5,12.0,,,,,,,,,,,
