,home_time,school_time,travel_time,orthers,working,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
24:05:2013,85200.0,5400.0,600.0,0.0,0.0,0.0,4.0,0.0,0.0,53.0,"Dartmouth College,Sanborn House,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Maynard Parking Lot,Dartmouth College,Native American House,Dartmouth College,Collis Student Center,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College,Thomas Hall",9511,2750.0,60.0,679.3571428571429,738.2566373811769,168.75,419.5,1041.25,14.0,,13778.0,2400.0,588.0,1148.1666666666667,651.1266925084317,600.0,894.5,1800.0,12.0,
25:04:2013,72807.0,2401.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Goldstein Hall,Thomas Hall",7191,4409.0,51.0,719.1,1335.547698719726,91.25,207.5,631.75,10.0,,3588.0,1201.0,1187.0,1196.0,7.810249675906654,1193.5,1200.0,1200.5,3.0,
25:05:2013,82902.0,599.0,600.0,599.0,0.0,5300.0,5.0,0.0,0.0,53.0,"Thomas Hall,Goldstein Hall,0,Maynard Parking Lot,Dartmouth College,Dartmouth College,Nugget Arcade,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Goldstein Hall,Thomas Hall",121,71.0,50.0,60.5,14.849242404917495,55.25,60.5,65.75,2.0,2.0,1191.0,603.0,588.0,595.5,10.606601717798211,591.75,595.5,599.25,2.0,5.0
26:04:2013,73206.0,9599.0,1200.0,0.0,0.0,0.0,4.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,Dana Circle Parking Lot,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sanborn House,Dartmouth College,Dartmouth College",5006,991.0,70.0,312.875,329.5966980012593,81.0,131.0,611.5,16.0,1.0,26304.0,3599.0,1152.0,2023.3846153846157,905.8859879018568,1189.0,2387.0,2401.0,13.0,2.0
26:05:2013,76800.0,0.0,1200.0,0.0,0.0,0.0,-1.0,0.0,0.0,53.0,"Thomas Hall,Goldstein Hall,Thomas Hall,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Northbound,Byrne II Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Thomas Hall",4046,1002.0,51.0,269.7333333333333,250.81480551727145,111.0,182.0,369.0,15.0,,,,,,,,,,,
27:04:2013,87600.0,2400.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Goldstein Hall,Thomas Hall",4294,1750.0,50.0,252.58823529411765,405.2300363410161,80.0,101.0,243.0,17.0,,16753.0,7185.0,1188.0,3350.6,2990.15222020552,1188.0,1189.0,6003.0,5.0,
27:05:2013,101700.0,0.0,600.0,0.0,0.0,598.0,0.0,0.0,0.0,53.0,"Thomas Hall,Goldstein Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Goldstein Hall,Maynard Parking Lot,Thomas Hall,Thomas Hall",292,232.0,60.0,146.0,121.62236636408618,103.0,146.0,189.0,2.0,,,,,,,,,,,
28:03:2013,62434.0,5997.0,8368.0,0.0,0.0,0.0,3.0,0.0,0.0,53.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dana Circle Parking Lot,Dana Circle Parking Lot,Life Sciences Greenhouse,Dana Circle Parking Lot,Sudikoff Hall",19228,2466.0,61.0,600.875,714.7956509245458,126.0,243.0,993.0,32.0,1.0,7139.0,1200.0,1187.0,1189.8333333333333,5.036533199202271,1187.25,1188.0,1188.75,6.0,
28:04:2013,78601.0,2400.0,1799.0,0.0,2400.0,0.0,-1.0,0.0,0.0,53.0,"Goldstein Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Thomas Hall,Thomas Hall,Dartmouth College,Alpha Theta,Collis Student Center,Collis Student Center,Dartmouth College",7099,991.0,51.0,283.96,254.7282015534728,91.0,182.0,354.0,25.0,,5951.0,1200.0,1186.0,1190.2,5.585696017507577,1188.0,1188.0,1189.0,5.0,
28:05:2013,69599.0,601.0,599.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0,"Goldstein Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,0,Thomas Hall,Thomas Hall,Thomas Hall",1091,172.0,51.0,109.1,39.83981816112006,81.0,116.0,138.5,10.0,,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,
29:03:2013,77929.0,8398.0,1201.0,0.0,0.0,0.0,4.0,0.0,0.0,53.0,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",10473,2457.0,41.0,476.04545454545456,695.7808547491787,91.0,126.0,606.5,22.0,,17837.0,2414.0,1186.0,1621.5454545454545,600.2878249034147,1187.5,1189.0,2349.5,11.0,1.0
29:04:2013,79125.0,4800.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2322,758.0,71.0,193.5,189.55426184029253,101.0,121.0,201.25,12.0,1.0,3588.0,1200.0,1188.0,1196.0,6.928203230275509,1194.0,1200.0,1200.0,3.0,1.5
29:05:2013,22801.0,55200.0,0.0,0.0,0.0,5399.0,2.0,0.0,0.0,53.0,"Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Thomas Hall,Thomas Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Winfred-Raven House,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Thomas Hall,Thomas Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Thomas Hall,Thomas Hall,Goldstein Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium",1810,414.0,61.0,164.54545454545453,104.66170611676807,96.0,121.0,217.5,11.0,,26987.0,12601.0,588.0,5397.4,6574.589629779185,600.0,600.0,12598.0,5.0,
30:03:2013,75601.0,9599.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Chinese Language House,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College",17039,3226.0,50.0,608.5357142857143,786.7486060029717,101.0,349.0,598.75,28.0,1.0,23844.0,2411.0,1136.0,1490.25,542.8298075824503,1188.0,1189.5,1498.0,16.0,
30:04:2013,78076.0,5999.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Class of 1953 Commons,Class of 1953 Commons,Thomas Hall,Goldstein Hall,Thomas Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dana Circle Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall",2508,1578.0,51.0,418.0,588.0942101398381,80.5,177.0,401.75,6.0,1.0,8294.0,2388.0,1088.0,1382.3333333333333,495.3110807024881,1186.0,1194.5,1233.0,6.0,1.0
30:05:2013,46813.0,0.0,23997.0,0.0,0.0,21395.0,3.0,0.0,0.0,53.0,"Alumni Gymnasium,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Dartmouth College,Dartmouth College,Maynard Parking Lot,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall",707,465.0,70.0,176.75,192.35795625170624,78.25,86.0,184.5,4.0,,4198.0,1200.0,598.0,839.6,328.99969604849184,600.0,600.0,1200.0,5.0,
31:03:2013,86749.0,13200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,53.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Class of 1953 Commons,Class of 1953 Commons,Kemeny Hall,Dartmouth College",3356,1506.0,60.0,479.4285714285714,614.6383373287788,66.0,111.0,773.5,7.0,1.0,10761.0,3612.0,1187.0,2152.2,1320.3199233519126,1188.0,1189.0,3585.0,5.0,2.0
31:05:2013,86403.0,1801.0,598.0,0.0,0.0,0.0,4.0,0.0,0.0,53.0,"Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Native American House Parking Lot,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Native American House,Thomas Hall",354,182.0,71.0,118.0,57.41950887982237,86.0,101.0,141.5,3.0,,7085.0,1200.0,508.0,708.5,260.54142344996376,593.25,599.5,600.0,10.0,
27:03:2013,,,,,,,,,,,,4993,2254.0,111.0,832.1666666666666,915.395524714135,186.5,389.0,1395.5,6.0,,,,,,,,,,,
