,home_time,recreational_activities,school_time,travel_time,orthers,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
26:04:2013,68446.0,6000.0,12001.0,0.0,0.0,0.0,0.0,4.0,0.0,9000.0,6.0,"Winfred-Raven House,Winfred-Raven House,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Berry Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,0",28310,3937.0,50.0,884.6875,972.4207385396176,148.5,615.0,1207.5,32.0,,5993.0,2396.0,1195.0,1498.25,598.5072402792356,1198.75,1201.0,1500.5,4.0,
27:03:2013,9599.0,0.0,3599.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,6.0,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College",19362,7594.0,81.0,1936.2,2271.602214786344,549.5,1048.5,2601.5,10.0,2.0,,,,,,,,,,4.0
27:04:2013,15598.0,2400.0,4802.0,68400.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,"0,Winfred-Raven House,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Mass Parking Lot",12418,5072.0,61.0,344.94444444444446,827.5070977492559,108.5,171.5,285.5,36.0,,7175.0,3587.0,1188.0,1793.75,1195.5133834466262,1197.0,1200.0,1796.75,4.0,
27:05:2013,25798.0,0.0,37212.0,0.0,0.0,0.0,0.0,0.0,0.0,11700.0,6.0,"Sudikoff Hall,Sudikoff Hall,Andres Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",35480,4750.0,40.0,739.1666666666666,1159.1841469433678,116.25,226.5,633.0,48.0,,1705.0,600.0,508.0,568.3333333333334,52.2717259456136,552.5,597.0,598.5,3.0,
28:03:2013,64801.0,8399.0,9600.0,0.0,0.0,0.0,0.0,3.0,0.0,7800.0,6.0,"Winfred-Raven House,Winfred-Raven House,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Dartmouth College,North Massachusetts Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",23106,6385.0,60.0,608.0526315789474,1114.1291338461533,116.0,196.5,562.25,38.0,1.0,2398.0,1200.0,1198.0,1199.0,1.4142135623730951,1198.5,1199.0,1199.5,2.0,4.5
28:04:2013,62404.0,1199.0,17999.0,0.0,0.0,2398.0,0.0,-1.0,0.0,0.0,6.0,"North Massachusetts Hall,Sigma Phi Epsilon,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall",6979,1412.0,70.0,332.3333333333333,357.339381167726,111.0,162.0,413.0,21.0,,8320.0,1200.0,1120.0,1188.571428571429,30.237157840738178,1200.0,1200.0,1200.0,7.0,
28:05:2013,33599.0,0.0,55078.0,0.0,0.0,0.0,0.0,1.0,0.0,3900.0,6.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",21758,2057.0,51.0,483.5111111111111,524.3871584232321,101.0,262.0,696.0,45.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
29:03:2013,67204.0,2400.0,15599.0,0.0,1197.0,0.0,0.0,4.0,0.0,9000.0,6.0,"North Massachusetts Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,Andres Hall,Rollins Chapel,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Collis Student Center,Collis Student Center,0,0",25537,6499.0,31.0,1216.047619047619,1733.2655444619693,111.0,409.0,1907.0,21.0,,,,,,,,,,,1.0
29:04:2013,73200.0,4800.0,7200.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,6.0,"North Massachusetts Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0,Haldeman Center,0",24446,3489.0,50.0,596.2439024390244,792.1630129110991,131.0,242.0,847.0,41.0,,9389.0,1200.0,1090.0,1173.625,40.35180116355225,1157.5,1197.5,1200.0,8.0,
29:05:2013,45001.0,1799.0,18001.0,600.0,0.0,0.0,0.0,2.0,0.0,11700.0,6.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Library,0,Dartmouth College,Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Berry Library,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Life Sciences Greenhouse",21340,4837.0,40.0,790.3703703703703,1064.2883555238702,100.5,364.0,1064.0,27.0,,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,
30:03:2013,67201.0,6000.0,15599.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,"Haldeman Center,Winfred-Raven House,Winfred-Raven House,Class of 1953 Commons,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,North Massachusetts Hall",29901,4649.0,51.0,964.548387096774,1157.660596165378,101.0,353.0,1644.0,31.0,2.0,57600.0,56400.0,1200.0,28800.0,39032.29432149742,15000.0,28800.0,42600.0,2.0,4.0
30:04:2013,57601.0,1200.0,43199.0,0.0,0.0,0.0,0.0,1.0,0.0,3900.0,6.0,"0,Winfred-Raven House,Winfred-Raven House,Middle Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,McNutt Hall,Sudikoff Hall",15024,3237.0,30.0,455.27272727272725,664.9705478782159,101.0,212.0,484.0,33.0,,6071.0,1255.0,1200.0,1214.2,23.836946113124473,1200.0,1200.0,1216.0,5.0,
31:03:2013,154800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.0,"North Massachusetts Hall,Foxtail Lane",23065,3944.0,50.0,1002.8260869565216,1023.3507641865835,378.0,595.0,1442.0,23.0,1.0,51600.0,51600.0,51600.0,51600.0,,51600.0,51600.0,51600.0,1.0,2.5
17:05:2013,,,,,,,,,,,,,1400,393.0,70.0,233.33333333333331,129.64361406049534,153.5,206.5,342.75,6.0,,,,,,,,,,,
26:05:2013,,,,,,,,,,,,,122,122.0,122.0,122.0,,122.0,122.0,122.0,1.0,,,,,,,,,,,
