,home_time,school_time,recreational_activities,travel_time,working,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
27:04:2013,68341.0,28800.0,1220.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,"0,Bildner Hall,Bildner Hall,Sudikoff Hall",8822.0,2310.0,20.0,339.3076923076923,505.7415758452745,103.5,171.5,348.0,26.0,,3695.0,1317.0,1180.0,1231.6666666666667,74.4468490490587,1189.0,1198.0,1257.5,3.0,
27:05:2013,36000.0,45600.0,0.0,0.0,0.0,0.0,0.0,0.0,11700.0,20.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall",26479.0,6842.0,60.0,696.8157894736842,1210.657401384776,101.0,233.5,729.25,38.0,,1199.0,1199.0,1199.0,1199.0,,1199.0,1199.0,1199.0,1.0,
28:03:2013,44398.0,32402.0,9600.0,0.0,0.0,0.0,3.0,0.0,3900.0,20.0,"Haldeman Center,0,Dartmouth College,Collis Student Center,Collis Student Center,0,0,Collis Student Center,Collis Student Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",23048.0,6853.0,60.0,606.5263157894736,1135.26505386716,113.5,237.0,698.0,38.0,1.0,12974.0,1201.0,985.0,1179.4545454545455,64.53117639771281,1198.0,1200.0,1200.0,11.0,2.5
28:04:2013,67211.0,25422.0,2283.0,0.0,0.0,0.0,-1.0,0.0,0.0,20.0,"Sudikoff Hall,0,Class of 1953 Commons,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall",4320.0,585.0,51.0,216.0,173.3788064508341,90.75,141.0,276.25,20.0,,,,,,,,,,,
28:05:2013,30613.0,44402.0,10800.0,597.0,0.0,0.0,1.0,0.0,7800.0,20.0,"Sudikoff Hall,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Berry Library,Black Family Visual Arts Center,Black Family Visual Arts Center,Sudikoff Hall,Sudikoff Hall",32706.0,8750.0,40.0,536.1639344262295,1229.324613766002,110.0,232.0,514.0,61.0,,7200.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,6.0,
29:03:2013,49202.0,13199.0,25199.0,0.0,0.0,0.0,4.0,0.0,9000.0,20.0,"Black Family Visual Arts Center,Black Family Visual Arts Center,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Berry Hall,Bildner Hall,0,Dartmouth College,Leverone Field House,Leverone Field House,Topliff Courts,Collis Student Center,Berry Hall,Bildner Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Collis Student Center,Collis Student Center,Dartmouth College,Haldeman Center",30871.0,4075.0,41.0,907.970588235294,955.2451846228266,273.75,602.0,1074.0,34.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,1.0
29:04:2013,48005.0,14334.0,3662.0,0.0,0.0,0.0,0.0,0.0,11700.0,20.0,"Berry Hall,0,0,Berry Library,Bildner Hall,Bildner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Bildner Hall,Bildner Hall,0",,,,,,,,,,,15630.0,6007.0,1128.0,3126.0,2624.770942387164,1200.0,1301.0,5994.0,5.0,2.6666666666666665
29:05:2013,20399.0,64802.0,2399.0,0.0,0.0,0.0,2.0,0.0,11700.0,20.0,"0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Bildner Hall,Bildner Hall,Dartmouth College",39810.0,2907.0,30.0,723.8181818181819,785.3335477010905,136.5,423.0,1040.5,55.0,2.0,3594.0,1203.0,1192.0,1198.0,5.5677643628300215,1195.5,1199.0,1201.0,3.0,4.0
30:03:2013,64511.0,19200.0,7198.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,"Haldeman Center,Berry Hall,Berry Hall,Collis Student Center,Collis Student Center,0,0,Black Family Visual Arts Center,Black Family Visual Arts Center,0,0,Collis Student Center",19574.0,3631.0,50.0,529.027027027027,693.9895727077079,132.0,262.0,635.0,37.0,1.0,106872.0,102072.0,1199.0,26718.0,50239.19283454568,1199.75,1800.5,27318.75,4.0,1.5
30:04:2013,39612.0,82789.0,1200.0,0.0,0.0,0.0,1.0,0.0,7800.0,20.0,"Haldeman Center,Winfred-Raven House,Bildner Hall,Bildner Hall,Class of 1953 Commons,Class of 1953 Commons,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,The Lodge,Black Family Visual Arts Center,Sudikoff Hall",,,,,,,,,,,2374.0,1199.0,1175.0,1187.0,16.97056274847714,1181.0,1187.0,1193.0,2.0,
30:05:2013,154378.0,4755.0,2401.0,0.0,0.0,0.0,3.0,0.0,3900.0,20.0,"0,Collis Student Center,Collis Student Center,Parker House,Bildner Hall",3176.0,393.0,50.0,151.23809523809524,83.49066101181901,91.0,141.0,171.0,21.0,,6000.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,5.0,
31:03:2013,110473.0,1200.0,1200.0,0.0,0.0,0.0,-1.0,0.0,0.0,20.0,"Collis Student Center,Dartmouth College,Dartmouth College,Bildner Hall,Hopkins Center for the Arts,0",,,,,,,,,,,,,,,,,,,,1.0
31:05:2013,2400.0,3600.0,3600.0,0.0,0.0,0.0,4.0,1.0,9000.0,20.0,"Bildner Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Sudikoff Hall,Sudikoff Hall",21083.0,6211.0,50.0,680.0967741935484,1193.7178436810689,151.0,242.0,690.5,31.0,2.0,3602.0,1202.0,1199.0,1200.6666666666667,1.5275252316519463,1200.0,1201.0,1201.5,3.0,5.0
21:04:2013,,,,,,,,,,,,212.0,212.0,212.0,212.0,,212.0,212.0,212.0,1.0,1.0,,,,,,,,,,
05:05:2013,,,,,,,,,,,,2129.0,575.0,60.0,193.54545454545453,157.6067026724204,80.5,161.0,232.0,11.0,1.0,,,,,,,,,,
