,home_time,school_time,orthers,recreational_activities,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
25:04:2013,85200.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",25982.0,2794.0,40.0,721.7222222222222,629.4968335838263,236.25,620.0,1099.0,36.0,0.0,3605.0,1205.0,1200.0,1201.6666666666667,2.886751345948129,1200.0,1200.0,1202.5,3.0,3.0
25:05:2013,79282.0,601.0,0.0,5998.0,0.0,0.0,5.0,0.0,0.0,44.0,"Class of 1953 Commons,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",27742.0,5970.0,71.0,1109.68,1338.9278895195712,171.0,797.0,1120.0,25.0,,34745.0,31210.0,535.0,5790.833333333333,12455.262508942422,600.0,600.0,1050.0,6.0,
26:04:2013,74413.0,11987.0,0.0,0.0,0.0,0.0,4.0,0.0,3000.0,44.0,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Vail,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",10624.0,1958.0,71.0,817.2307692307693,633.1090156055477,343.0,605.0,1373.0,13.0,2.0,6022.0,1222.0,1200.0,1204.4,9.838699100999074,1200.0,1200.0,1200.0,5.0,4.0
26:05:2013,104400.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",17268.0,1715.0,40.0,392.45454545454544,425.2678201040701,118.5,232.5,476.5,44.0,,40082.0,37792.0,538.0,8016.4,16645.094736888703,546.0,600.0,606.0,5.0,
27:04:2013,167459.0,9600.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",,,,,,,,,,,56364.0,55200.0,1164.0,28182.0,38209.22202819628,14673.0,28182.0,41691.0,2.0,
27:05:2013,47399.0,25201.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",16158.0,2885.0,30.0,394.0975609756098,517.1964232706008,101.0,182.0,423.0,41.0,,2878.0,600.0,522.0,575.6,35.2036929880943,557.0,599.0,600.0,5.0,
28:03:2013,0.0,433962.0,0.0,0.0,0.0,0.0,3.0,0.0,3900.0,44.0,Sudikoff Hall,,,,,,,,,,,,,,,,,,,,
28:05:2013,53400.0,28800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College",11983.0,1191.0,51.0,342.37142857142857,320.36459796652326,95.5,182.0,469.5,35.0,,1121.0,600.0,1.0,280.25,320.44175237734964,6.25,260.0,534.0,4.0,
29:04:2013,48000.0,3600.0,31194.0,0.0,0.0,0.0,0.0,0.0,3900.0,44.0,"Loeb Drama Center,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",11393.0,1746.0,50.0,495.3478260869565,458.26685444337227,162.0,333.0,651.5,23.0,0.0,6551.0,1750.0,1198.0,1310.2,245.8662237884659,1199.0,1200.0,1204.0,5.0,3.0
29:05:2013,29400.0,56946.0,600.0,0.0,0.0,0.0,2.0,0.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,X-Delta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall",37120.0,2151.0,40.0,554.0298507462686,524.851089131097,156.5,393.0,777.5,67.0,,,,,,,,,,,
30:04:2013,62402.0,25199.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3009.0,1603.0,192.0,1003.0,728.7804882130147,703.0,1214.0,1408.5,3.0,1.0,1203.0,1203.0,1203.0,1203.0,,1203.0,1203.0,1203.0,1.0,2.5
30:05:2013,0.0,654.0,0.0,0.0,0.0,0.0,3.0,1.0,3900.0,44.0,"Sudikoff Hall,Sudikoff Hall",,,,,,,,,,,,,,,,,,,,
01:04:2013,,,,,,,,,,,,6542.0,746.0,40.0,297.3636363636364,200.9320059016756,141.25,257.0,438.75,22.0,0.0,,,,,,,,,,
21:04:2013,,,,,,,,,,,,36880.0,4255.0,50.0,768.3333333333334,955.1623307135728,211.75,428.0,883.25,48.0,,,,,,,,,,,
28:04:2013,,,,,,,,,,,,8896.0,2108.0,50.0,317.7142857142857,459.48827068758885,128.5,183.0,254.5,28.0,,84751.0,84751.0,84751.0,84751.0,,84751.0,84751.0,84751.0,1.0,
12:05:2013,,,,,,,,,,,,2843.0,938.0,71.0,284.3,247.5955707735231,161.25,236.5,289.75,10.0,,,,,,,,,,,
18:05:2013,,,,,,,,,,,,5433.0,544.0,40.0,164.63636363636363,113.49334181511988,80.0,151.0,232.0,33.0,,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,
